<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P020000000004EN;BIO CEREAL CARRE MONTAGN 200G;Oui;Oui;MEDIASTEP145193316;https://media.auchan.fr/MEDIASTEP145193316_0x0/
P0200000000055J;BIO CEREAL GALET BREBI TOM200G;Oui;Oui;MEDIASTEP145194335;https://media.auchan.fr/MEDIASTEP145194335_0x0/
A0220111229000043811;BIO CEREAL TOFU FUME 200G;Oui;;MEDIASTEP138892494;https://media.auchan.fr/MEDIASTEP138892494_0x0/
A0220000831000804050;BIO GIRAUDET QUEN VOLAIL 4X80G;Oui;Oui;MEDIASTEP74124572;https://media.auchan.fr/MEDIASTEP74124572_0x0/
A0220170216000384675;BOULGOUR FIN COURGET BIO 250G;Oui;Oui;MEDIASTEP73798056;https://media.auchan.fr/MEDIASTEP73798056_0x0/
P020000000005VM;BIOL HERTA PATE FEUILLET 230G;Oui;Oui;MEDIASTEP132218544;https://media.auchan.fr/MEDIASTEP132218544_0x0/
P020000000006DD;BIO ST JEAN RAVIOLI CHAMP 250G;Oui;Oui;MEDIASTEP104201597;https://media.auchan.fr/MEDIASTEP104201597_0x0/
P020000000006J2;BIOL RANA RAVIOLI EPINARD 250G;Oui;Oui;MEDIASTEP102978421;https://media.auchan.fr/MEDIASTEP102978421_0x0/
P020000000006J1;BIOL RANA RAVIOLI POIS CHICHES;;Oui;MEDIASTEP102978422;https://media.auchan.fr/MEDIASTEP102978422_0x0/
P020000000006LD;BIOL JUL CONF FIG 140G;Oui;Oui;MEDIASTEP62682701;https://media.auchan.fr/MEDIASTEP62682701_0x0/
P020000000006LC;BIOL JUL CONF OIGN 140G;Oui;Oui;MEDIASTEP62682702;https://media.auchan.fr/MEDIASTEP62682702_0x0/
A0220180524000245486;BIO LASAGNES LEGUMES 400G FE;Oui;Oui;MEDIASTEP68006435;https://media.auchan.fr/MEDIASTEP68006435_0x0/
P020000000006XX;BIO GIRAUDET QUENEL SAUM 4X80G;Oui;Oui;MEDIASTEP73624627;https://media.auchan.fr/MEDIASTEP73624627_0x0/
P020000000007MN;BIOL HERTA PATE TART BRISE230G;Oui;Oui;MEDIASTEP139417307;https://media.auchan.fr/MEDIASTEP139417307_0x0/
P020000000008I4;BIO ST JEAN RAVIOL TOM MOZ300G;Oui;Oui;MEDIASTEP88818236;https://media.auchan.fr/MEDIASTEP88818236_0x0/
P020000000008JX;BIOL MARIE RISOTTO PLT CHAMP;;Oui;MEDIASTEP92859786;https://media.auchan.fr/MEDIASTEP92859786_0x0/
P020000000008JW;BIOL MARIE SPAGHETTI BOLO280G;;Oui;MEDIASTEP92859787;https://media.auchan.fr/MEDIASTEP92859787_0x0/
A0220190314000197803;AUCHAN BIO CAKE JAMB EMME 160G;Oui;;MEDIASTEP76910964;https://media.auchan.fr/MEDIASTEP76910964_0x0/
A0220190404000280373;AUCH BIO CAROTTE RAPEE 200G FE;Oui;;MEDIASTEP135445007;https://media.auchan.fr/MEDIASTEP135445007_0x0/
A0220190404000279993;AUCH BIO CELERI REMOUL 200G FE;Oui;;MEDIASTEP85730535;https://media.auchan.fr/MEDIASTEP85730535_0x0/
A0220190404000279973;AUCH BIO CONCOMBR CREME 200GFE;Oui;;MEDIASTEP133881625;https://media.auchan.fr/MEDIASTEP133881625_0x0/
A0220190404000279677;AUCH BIO BETTERAVES RGE 200GFE;Oui;;MEDIASTEP133881623;https://media.auchan.fr/MEDIASTEP133881623_0x0/
A0220190404000279685;AUCH BIO TABOULE ORIENT 200GFE;Oui;Oui;MEDIASTEP133881624;https://media.auchan.fr/MEDIASTEP133881624_0x0/
P02000000000ADM;BIO BROCELIANDE CREPES FRAI X4;Oui;Oui;MEDIASTEP71389413;https://media.auchan.fr/MEDIASTEP71389413_0x0/
P02000000000B49;BIO BROCELIANDE GALET X4 260G;Oui;Oui;MEDIASTEP129771562;https://media.auchan.fr/MEDIASTEP129771562_0x0/
