"<ID>";"ATPD_00101";"GTIN achat";"ATPDA_72101260";"ATPD_200133"
"AUCH_ACHA_106697401";"A0220120201000394992";"3297760019008";"";"Purée de Pommes SSA 4x100g OE"
"AUCH_ACHA_106697409";"A0220120201000395521";"3297760019169";"";"Spécialité de Pommes Abricots SSA 4x100g OE"
"AUCH_ACHA_106697413";"A0220120201000395243";"3297760019022";"";"Purée de Pêches Pommes SSA 4x100g OE"
"AUCH_ACHA_106697425";"A0220120201000395539";"3297760019039";"";"Purée de Pommes Pruneaux SSA 4x100g OE"
"AUCH_ACHA_106697345";"A0220120201000397098";"3297760019961";"";"Spécialité de Pommes Bananes Vanille SSA 4x97g OE"
"AUCH_ACHA_106697370";"A0220120201000397075";"3297760019954";"";"Spécialité de Pommes Mirabelle SSA 4x97g OE"
"AUCH_ACHA_106697852";"A0220111108000015541";"3596710363483";"";"Yaourt brassé sucré au lait entier et à la crème, sur lit pêche ou poire, avec arômes naturels"
"AUCH_ACHA_106699251";"A0220110803000012882";"3184670006177";"";"2 Desserts"
"AUCH_ACHA_106699090";"A0220110908000024056";"3596710363551";"";"Dessert au chocolat noir, aux noisettes et aux amandes."
"AUCH_ACHA_106699238";"A0220110804000017722";"3596710363698";"";"Lait fermenté au bifidus*, sucré et aromatisé. Saveurs : Framboise - Citron - Coco - Vanille * qui apporte au produit son goût unique"
"AUCH_ACHA_106701859";"A0220110518000046115";"3451790903144";"";"Crème entière 30% MG stérilisée UHT"
"AUCH_ACHA_106704909";"A0220110125000242579";"3456774709811";"";"Yaourt brassé sucré, à la framboise, saveur framboise."
"AUCH_ACHA_106705081";"A0220101129000046768";"3297760094036";"AB Agriculture biologique";"Spécialité de Pommes Châtaigne BIO 4x95G"
"AUCH_ACHA_106706155";"A0220100811000040516";"3279231182008";"";"Yaourt au marron"
"AUCH_ACHA_106705053";"A0220101221000049980";"3273220081068";"";"""Spécialité au Soja fermentée nature, enrichie en calcium."
