"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"P020000000007BR";"YOPLAIT";"Yaourt à boire aux fruits";"12x40g"
"P020000000007G8";"LES 300 & BIO"
"P020000000007H3";"AUCHAN BIO";"Lait écrémé stérilisé UHT filière responsable";"1L"
"P020000000007H2";"AUCHAN BIO";"Lait demi-écrémé équitable UHT filière responsable";"6x50cl"
"P0200000000069M";"SANS MARQUE";"Yaourt à la grecque sucré à la noix de coco";"4x150g"
"P020000000007L2";"ACTIVIA";"Yaourts aux fruits mixés panachés 0%MG";"16x125g"
"P020000000007L4";"ACTIVIA";"Yaourts au bifidus et aux fruits panachés";"16x125g"
"P020000000007WE";"ANDROS";"Mousse végétale au chocolat";"4x55g"
"P020000000007WP";"BONNE MAMAN";"Baba au rhum à la chantilly";"2x140g"
"P0200000000080M";"AUCHAN";"Lait demi-écrémé";"7 litres + 1 offert"
"P02000000000848";"DANONE";"Le Yaourt nature";"16x125g"
"P02000000000874";"ACTIMEL";"Yaourt à boire nature et sucré";"12x100g"
"P020000000008AX";"DANETTE";"Crème dessert au chocolat";"8x125g"
"P020000000008AS";"DANETTE";"Crème dessert saveur chocolat noisettes";"8x125g"
"P020000000008AQ";"DANETTE";"Le Liégeois au chocolat";"8x100g"
"P020000000008HM";"DANETTE";"Crème dessert aux 3 chocolats";"12x125g"
"P020000000008HJ";"DANETTE";"Crème dessert chocolat noir extra";"4x125g"
"P020000000008HH";"DANETTE";"Crème dessert chocolat";"4x125g"
"P020000000008IB";"ACTIVIA";"Yaourt au bifidus panaché vanille framboise";"16x125g"
"P020000000008MP";"AUCHAN";"Skyr nature";"450g"
"P020000000008RC";"PANIER DE YOPLAIT";"Yaourts aux abricots et la nectarine";"4x130g"
"P020000000008RF";"PANIER DE YOPLAIT";"Yaourts à la fraise et à la framboise";"4x130g"
"P020000000008RS";"YOP";"Yaourt à boire à la pêche";"825g"
"P020000000008S0";"YOP";"Yaourt à boire au chocolat";"850g"
"P020000000008RZ";"YOP";"Yaourt à boire tropical";"850g"
"P020000000008SH";"KINDER";"Chocofresh Chocolat supérieur au lait fourré lait et noisette";"5x20g"
"P020000000008W8";"ACTIMEL";"Shot probiotiques nature";"80g"
"P020000000008ZT";"DANETTE";"Crème dessert au chocolat noir extra";"4x125g"
"P020000000008ZL";"DANETTE";"Liégeois à la vanille";"4x100g"
"P02000000000900";"DANETTE";"Crème dessert au café expresso";"4x125g"
"P0200000000090H";"LIGHT&FREE";"Skyr allégé nature";"145g"
"P02000000000903";"DANETTE";"Crème dessert saveur vanille";"4x125g"
"P0200000000091B";"PANIER DE YOPLAIT";"Yaourt allégé aux fruits jaunes 0%";"8x130g"
"P0200000000091E";"PANIER DE YOPLAIT";"Panaché de yaourts";"16x130g"
"P02000000000941";"GERVAIS";"Petit suisse nature 9.5% MG";"12x60g"
"P0200000000094K";"LES PETITES POUSSES";"Dessert végétal bio au lait de coco";"2x100g"
"P02000000000969";"ANDROS";"Specialité de pomme nature et de pomme poire";"12x100g +4 offertes"
"P0200000000098V";"SIGGI'S";"Skyr à l'irlandaise 2% MG saveur framboise";"2x140g"
"P0200000000097T";"AUCHAN";"Dessert de fruits pomme banane vanille coupelle sans sucres ajoutés";"4x100g"
"P02000000000994";"BRIDELICE";"Exquise Crème légère semi épaisse 15% mg";"3x20cl"
"P020000000009CV";"LES PETITES POUSSES";"Dessert végétal bio brassé  coco vanille";"2x100g"
"P020000000009D3";"LES PETITES POUSSES";"Dessert végétal bio au lait de coco et cacao";"2x100g"
"P020000000009IP";"YOPLAIT";"Crème fraîche fleurette légère 15%MG bouteille";"38cl"
"P0200000000098Q";"SANS MARQUE";"Yaos Yaourt à la grecque sur lit de framboise";"4x125g"
"P020000000009XC";"LIGHT&FREE";"Skyr nature riche en protéines 0%MG";"480g"
