cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
P02000000001641,225323,3600542358941,ULTRA DOUX MASQUE AVOCATKARITE 300ML,MEDIASTEP157747822,https://media.auchan.fr/MEDIASTEP157747822_0x0/
A0219900101000056119,56119,5449000050205,COCA COLA LIGHT BTE 33CL,MEDIASTEP66592608,https://media.auchan.fr/MEDIASTEP66592608_0x0/
A0220130315000788274,788274,4005808801497,NIVEA MEN SOIN ACTIVE AGE50ML,MEDIASTEP139684775,https://media.auchan.fr/MEDIASTEP139684775_0x0/
P020000000005DF,205680,3363298443193,MANDAR CORIAN CUISINE FACI 90G,MEDIASTEP103794865,https://media.auchan.fr/MEDIASTEP103794865_0x0/
A0220150824000862586,862586,3240931540573,LUSTUCRU BOX TORTI CARBO 360G,MEDIASTEP141290094,https://media.auchan.fr/MEDIASTEP141290094_0x0/
A0219970711000059996,59996,3254560599963,AUCHAN BOISSON A LA PULPEORANGE SANGUINE PET 1.5L,MEDIASTEP80780734,https://media.auchan.fr/MEDIASTEP80780734_0x0/
P0200000000161W,224635,3018251541002,FEYEL FG CND ENT GEWURZT 290G,MEDIASTEP138870712,https://media.auchan.fr/MEDIASTEP138870712_0x0/
A0220151007000294919,294919,3600523193318,L OREAL MAGIC RETOUCH 4 BLONDFONCE,MEDIASTEP87439355,https://media.auchan.fr/MEDIASTEP87439355_0x0/
P020000000019UJ,173393,5029053578309,KLEENEX ULTRASOFT BOITE CUBIQUE X48,MEDIASTEP162924307,https://media.auchan.fr/MEDIASTEP162924307_0x0/
A0220180302000286043,286043,3041091303295,BIO BLEDINA RECOLTES CAROTTESDE NOS REGIONS 2X130G 4/6 MOIS,MEDIASTEP135816412,https://media.auchan.fr/MEDIASTEP135816412_0x0/
A0220130902000656243,656243,3596710391172,AUCHAN PERSIL HACHE 250G,MEDIASTEP58698134,https://media.auchan.fr/MEDIASTEP58698134_0x0/
A0220201204000876687,876687,2030508766878,DRIVE JOUE DE RAIE 250G,MEDIASTEP159639995,https://media.auchan.fr/MEDIASTEP159639995_0x0/
P020000000008OL,298428,3168930156802,TPP ORANG RAISIN BANA PET 90CL,MEDIASTEP138883160,https://media.auchan.fr/MEDIASTEP138883160_0x0/
A0220190128000655822,655822,3334861003205,"COTES DE PROVENCE MIMI ENPROVENCE ROSE 12,5D 75CL",MEDIASTEP133099262,https://media.auchan.fr/MEDIASTEP133099262_0x0/
