,image,description_produit,description_fournisseur
222,image_222.jpg,ALSACE RIESLING VIEIL ARMAND2020 75CL MEDAILLE 2021,AOC Alsace Riesling 2020 Médaille Or Mâcon 2021
223,image_223.jpg,MARIE TARTEL CITR YUZU X2 190G,2 TARTELETTES CITRON YUZU MERINGUEES SURGELEES
224,image_224.jpg,COSMIA BABY LINIMENT OLEOCALCAIRE HUILE D OLIVE 250ML,COSMIA BABY  oleo liniment a l'huile d'olive 250 ml
225,image_225.jpg,FAMILLE MICHAUD MIEL LIQUIDE1KG,Miel
226,image_226.jpg,SANEX GEL DOUCHE DERMO SANSSAVON 700 ML,SANEX DERMO MICELLAR 700ML
227,image_227.jpg,GATEAU DE FOIE X 2 480G FE,2 GÂTEAUX DE FOIE DE VOLAILLE SAUCE FINANCIÈRE
228,image_228.jpg,MONTPERAL OLIVES VERTES FARCEANCHOIS 120G,Olives Vertes à la Farce d'Anchois 120G
229,image_229.jpg,AUCHAN LAIT FRAISE BK 6X20CL,"Boisson lactée saveur fraise, source de calcium et de vitamine D, stérilisée UHT. "
230,image_230.jpg,DESINFECTANT SS JAVEL 1 L,
231,image_231.jpg,DANONE SKYR NATURE 825G,Spécialité laitière nature
232,image_232.jpg,LAITIERE LIEGEOIS YT FRMB X4,Specialité à base de yaourt à la framboise et mousse fouettée à la crème.
